x,y
50,0.03403174826595973
55.8625,0.017510280506981002
61.725,0.011928699684946475
67.5875,0.006889930996789584
73.45,0.004671797630686703
79.3125,0.004868788676086866
85.175,0.005591268384673165
91.0375,0.004187980295840832
96.9,0.0006655874800429729
102.7625,-0.00015402293738747685
108.625,-0.0030581704547953947
114.4875,-0.0037105138989713127
120.35,-0.001852136928615189
126.2125,-0.00007914151483684462
132.075,-0.0006015171202707892
137.9375,-0.0031368867750428686
143.8,-0.0029693662576062985
149.6625,-0.004722565851917271
155.525,-0.004612536750758456
161.3875,-0.002384736531573617
167.25,-0.00009534834205754406
173.1125,0.0002534693862050186
178.975,-0.0017298184597472344
184.8375,-0.002047143651884409
190.7,-0.0022690493831168945
196.5625,-0.004244290418369601
202.425,-0.004091750959545004
208.2875,-0.001909075569903218
214.15,0.00010059751817387275
220.0125,0.00020644313833734218
225.875,-0.00157780025853399
231.7375,-0.001632466312495029
237.6,-0.0032210652510797355
243.4625,-0.0027218803262113456
249.325,-0.0008356135703769807
255.1875,0.0007384502629501632
261.05,0.000236671745919792
266.9125,-0.0016106198604707855
272.775,-0.0010621776140308792
278.6375,-0.003119635112976693
284.5,-0.002781925572992394
290.3625,-0.0004268059889975806
296.225,0.0012455045484813243
302.0875,0.0007646296173173805
307.95,-0.0014281153521768508
313.8125,-0.000765827794305951
319.675,-0.003057132251195749
325.5375,-0.003386670999650676
331.4,-0.0009227307771194626
337.2625,0.0018402657950528645
343.125,0.00196455477376839
348.9875,-0.0008941652043001902
354.85,-0.0010905369083634708
360.7125,-0.0011436940541556528
366.575,-0.0033090179043335777
372.4375,-0.0030359737808842713
378.3,-0.0005043999713420511
384.1625,0.0021624555852569616
390.025,0.0020587005914943224
395.8875,-0.0003187486065527323
401.75,-0.0006235156557577448
407.6125,-0.0025795468406568656
413.475,-0.0026499528537337613
419.3375,-0.0006203365674391503
425.2,0.001477823798171407
431.0625,0.001490875481075793
436.925,-0.0003854702547623212
442.7875,-0.0003690765916750105
448.65,-0.0028072029193989545
454.5125,-0.0026516372838450986
460.375,0.00009053161441563429
466.2375,0.0025839380578611126
472.1,0.0018944390385857712
477.9625,-0.0012380368983140877
483.825,-0.000908382502306404
489.6875,-0.002328571668196666
495.55,-0.0016771464307720474
501.4125,0.00032541046876155555
507.275,0.0019854015815494175
513.1375,0.0014933024429635844
519,-0.0005056075429605844
524.8625,-0.00019573171632075725
530.725,-0.000020738100916128932
536.5875,-0.0028329303694722974
542.45,-0.003002490955210768
548.3125,-0.00054510107603567
554.175,0.001946895742465815
560.0375,0.002057259016161661
565.9,-0.0003920858171480579
571.7625,-0.000022146326163541286
577.625,-0.0023973523706734556
583.4875,-0.0028356075037316852
589.35,-0.0008100419839813799
595.2125,0.0017586388667335529
601.075,0.0028084982345535914
606.9375,0.0005574965589175696
612.8,6.43100816488662e-8
618.6625,-0.00274489497983188
624.525,-0.00307971774121385
630.3875,-0.0011098002678063823
636.25,0.0011914621578619222
642.1125,0.0014030632901517737
647.975,-0.0005881442252341773
653.8375,-0.0003967996646916383
659.7,-0.00002685351963416238
665.5625,-0.002202076088177185
671.425,-0.002472656604136203
677.2875,-0.00011111573979594169
683.15,0.002205399923233653
689.0125,0.0016367827423030556
694.875,-0.0012153103948540633
700.7375,-0.0009830472124455203
706.6,-0.0025037800891843376
712.4625,-0.0020295804098180437
718.325,-0.0002040493882388139
724.1875,0.001674286894423782
